"name","software_review","review_status","issue_created","issue_closed"
"auk",TRUE,"Completed",2017-07-19,2018-08-26
"genbankr",TRUE,"Completed",2016-05-20,2016-08-03
"treeio",TRUE,"Completed",2018-01-03,2018-03-20
"apipkgen",FALSE,NA,NA,NA
"arresteddev",FALSE,NA,NA,NA
"aspacer",FALSE,NA,NA,NA
"available",FALSE,NA,NA,NA
"bindertools",FALSE,NA,NA,NA
"blogyaml",FALSE,NA,NA,NA
"cchecks",FALSE,NA,NA,NA
"changes",FALSE,NA,NA,NA
"checkers",FALSE,NA,NA,NA
"citecorp",FALSE,NA,NA,NA
"clock",FALSE,NA,NA,NA
"colorpiler",FALSE,NA,NA,NA
"conditionz",FALSE,NA,NA,NA
"convertr",FALSE,NA,NA,NA
"craft",FALSE,NA,NA,NA
